college_name,college_code,college_division_name,college_division_code,department_name,department_code,major_name,major_code,program_name,program_code,cip_code,academic_period
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Conservation Biology Emphasis,CBI,3.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Conservation Biology Emphasis,CBI,3.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,"Natural Resources - Bachelor of Science: Ecology, Management, and Restoration of Rangelands",ECOLMRR,3.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,"Natural Resources - Bachelor of Science: Ecology, Management, and Restoration of Rangelands",ECOLMRR,3.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Fisheries Conservation & Management Emphasis,FIC,3.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Fisheries Conservation & Management Emphasis,FIC,3.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Global Change Ecology and Management,GCEM,3.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Global Change Ecology and Management,GCEM,3.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Watershed Hydrology & Management Emphasis,WATHDM,3.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Watershed Hydrology & Management Emphasis,WATHDM,3.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Wildlife Conservation & Management Emphasis,WLC,3.0101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Natural Resources and The Environment,,"Nat Resources & Eviron, Sch",,Natural Resources,NTRS,Natural Resources - Bachelor of Science: Wildlife Conservation & Management Emphasis,WLC,3.0101,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Nutritional Sciences,,Nutrition and Food Systems,NFS,Nutrition and Food Systems - Bachelor of Science,NFS,30,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Nutritional Sciences,,Nutrition and Food Systems,NFS,Nutrition and Food Systems - Bachelor of Science,NFS,30,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Nutritional Sciences,,Nutritional Sciences,NUSC,Nutritional Sciences - Bachelor of Science: Dietetics Emphasis,DIET,30.1901,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Nutritional Sciences,,Nutritional Sciences,NUSC,Nutritional Sciences - Bachelor of Science: Dietetics Emphasis,DIET,30.1901,Spring 2021
College of Agriculture and Life Sciences,CALS,,,Nutritional Sciences,,Nutritional Sciences,NUSC,Nutritional Sciences - Bachelor of Science: Nutrition Emphasis,NUTR,30.1901,Fall 2020
College of Agriculture and Life Sciences,CALS,,,Nutritional Sciences,,Nutritional Sciences,NUSC,Nutritional Sciences - Bachelor of Science: Nutrition Emphasis,NUTR,30.1901,Spring 2021
College of Agriculture and Life Sciences,CALS,Norton School of Family and Consumer Sciences,,Family and Consumer Sciences,,Personal & Family Financial Planning,PFFP,Personal & Family Financial Planning - Bachelor of Science,PFFP,19.0401,Fall 2020
College of Agriculture and Life Sciences,CALS,Norton School of Family and Consumer Sciences,,Family and Consumer Sciences,,Personal & Family Financial Planning,PFFP,Personal & Family Financial Planning - Bachelor of Science,PFFP,19.0401,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,School of Plant Sciences,,Plant Sciences,PLSC,Plant Sciences - Bachelor of Science,PLSC,1.1101,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,School of Plant Sciences,,Plant Sciences,PLSC,Plant Sciences - Bachelor of Science,PLSC,1.1101,Spring 2021
College of Agriculture and Life Sciences,CALS,Norton School of Family and Consumer Sciences,,Retailing & Consumer Sciences,,Retailing & Consumer Sciences,RCSC,Retailing & Consumer Sciences - Bachelor of Science,RCSC,52.0212,Fall 2020
College of Agriculture and Life Sciences,CALS,Norton School of Family and Consumer Sciences,,Retailing & Consumer Sciences,,Retailing & Consumer Sciences,RCSC,Retailing & Consumer Sciences - Bachelor of Science,RCSC,52.0212,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Agronomy Emphasis,AGRON,1.9999,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Agronomy Emphasis,AGRON,1.9999,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Controlled Environment Agriculture Emphasis,CEAG,1.9999,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Controlled Environment Agriculture Emphasis,CEAG,1.9999,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Fresh Produce Safety Emphasis (Yuma),FOODS,1.9999,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Fresh Produce Safety Emphasis (Yuma),FOODS,1.9999,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Urban Horticulture Emphasis,UH,1.9999,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Plant Sciences,,Biosystems Engineering,,Sustainable Plant Systems,SPS,Sustainable Plant Systems - Bachelor of Science: Urban Horticulture Emphasis,UH,1.9999,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Veterinary Science,VSC,Veterinary Science - Bachelor of Science: Applied Animal Behavior Emphasis,AAB,51.1104,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Veterinary Science,VSC,Veterinary Science - Bachelor of Science: Applied Animal Behavior Emphasis,AAB,51.1104,Spring 2021
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Veterinary Science,VSC,Veterinary Science - Bachelor of Science: General Emphasis,GENVSC,51.1104,Fall 2020
College of Agriculture and Life Sciences,CALS,School of Animal And Comparative Biomedical Sciences,,Animal&Biomedical Sciences-Ins,,Veterinary Science,VSC,Veterinary Science - Bachelor of Science: General Emphasis,GENVSC,51.1104,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Administration of Justice Emphasis,ADJS,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Administration of Justice Emphasis,ADJS,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Early Childhood Education Emphasis,ECH,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Early Childhood Education Emphasis,ECH,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Human Services Emphasis,HSV,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Human Services Emphasis,HSV,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: Digital Design Track,INFOR,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: Digital Design Track,INFOR,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: Information Management Track,INFOR,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: Information Management Track,INFOR,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: Software Development Track,INFOR,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: Software Development Track,INFOR,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: System Administration Track,INFOR,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Informatics Emphasis: System Administration Track,INFOR,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Intelligence Studies Emphasis,IS,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Intelligence Studies Emphasis,IS,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Meteorology Emphasis,MET,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Meteorology Emphasis,MET,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Network Operations Emphasis,NOW,41.9999,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Applied Science,APS,Applied Science - Bachelor of Applied Science: Network Operations Emphasis,NOW,41.9999,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Cyber Operations,CYBR,Cyber Operations - Bachelor of Applied Science: Cyber Engineering Emphasis,ENGR,29.0207,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Cyber Operations,CYBR,Cyber Operations - Bachelor of Applied Science: Cyber Engineering Emphasis,ENGR,29.0207,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Cyber Operations,CYBR,Cyber Operations - Bachelor of Applied Science: Cyber Law and Policy Emphasis,LAP,29.0207,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Cyber Operations,CYBR,Cyber Operations - Bachelor of Applied Science: Cyber Law and Policy Emphasis,LAP,29.0207,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Cyber Operations,CYBR,Cyber Operations - Bachelor of Applied Science: Defense and Forensics Emphasis,DEF,29.0207,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Cyber Operations,CYBR,Cyber Operations - Bachelor of Applied Science: Defense and Forensics Emphasis,DEF,29.0207,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Elementary Education,ELEM,Elementary Education - Bachelor of Science,ELEMBS,13.1202,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Elementary Education,ELEM,Elementary Education - Bachelor of Science,ELEMBS,13.1202,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Government and Public Service,GPS,Government and Public Service - Bachelor of Arts,GPSBA,45.1001,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Government and Public Service,GPS,Government and Public Service - Bachelor of Arts,GPSBA,45.1001,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Organizational Leadership and Regional Commerce,OL,Organizational Leadership and Regional Commerce - Bachelor of Applied Science: Organizational Leadership Emphasis,OL,52.0213,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Organizational Leadership and Regional Commerce,OL,Organizational Leadership and Regional Commerce - Bachelor of Applied Science: Organizational Leadership Emphasis,OL,52.0213,Spring 2021
College of Applied Sci & Tech,CAST,,,,,Organizational Leadership and Regional Commerce,OL,Organizational Leadership and Regional Commerce - Bachelor of Applied Science: Regional Commerce Emphasis,RGC,52.0213,Fall 2020
College of Applied Sci & Tech,CAST,,,,,Organizational Leadership and Regional Commerce,OL,Organizational Leadership and Regional Commerce - Bachelor of Applied Science: Regional Commerce Emphasis,RGC,52.0213,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,School of Architecture,,Architecture,ARCH,Architecture - Bachelor of Architecture,ARCH,4.0902,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,School of Architecture,,Architecture,ARCH,Architecture - Bachelor of Architecture,ARCH,4.0902,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: General Emphasis,GENRL,4.9999,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: General Emphasis,GENRL,4.9999,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Heritage Conservation Empashis,HCON,4.9999,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Heritage Conservation Empashis,HCON,4.9999,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Buildings Emphasis,DPOSR,4.9999,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Buildings Emphasis,DPOSR,4.9999,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Communities Emphasis,SCH,4.9999,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Communities Emphasis,SCH,4.9999,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Landscapes Emphasis,SECO,4.9999,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Landscapes Emphasis,SECO,4.9999,Spring 2021
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Real Estate Empashis,SRED,4.9999,Fall 2020
College of Architecture and Planning and Landscape Architecture,CAPLA,School of Architecture,,Sch of Landscape Architecture,,Sustainable Built Environments,SBE,Sustainable Built Environments - BS in Sustainable Built Environments: Sustainable Real Estate Empashis,SRED,4.9999,Spring 2021
College of Education,EDUC,,,Disability Psychoeduc Studies,,Deaf Studies,DFST,Deaf Studies - BS in Education: Educational Interpreting Emphasis,EI,13.9999,Fall 2020
College of Education,EDUC,,,Disability Psychoeduc Studies,,Deaf Studies,DFST,Deaf Studies - BS in Education: Educational Interpreting Emphasis,EI,13.9999,Spring 2021
College of Education,EDUC,,,Disability Psychoeduc Studies,,Deaf Studies,DFST,Deaf Studies - BS in Education: General Emphasis,GNR,13.9999,Fall 2020
College of Education,EDUC,,,Disability Psychoeduc Studies,,Deaf Studies,DFST,Deaf Studies - BS in Education: General Emphasis,GNR,13.9999,Spring 2021
College of Education,EDUC,,,Teachg Learning Sociocult Stds,,Early Childhood Education,ECED,Early Childhood Education - BA in Education,ECED,13.1209,Fall 2020
College of Education,EDUC,,,Teachg Learning Sociocult Stds,,Early Childhood Education,ECED,Early Childhood Education - BA in Education,ECED,13.1209,Spring 2021
College of Education,EDUC,,,College of Applied Sci & Tech,,Elementary Education,ELEM,Elementary Education - BA in Education: Bilingual Emphasis,BIL,13.1202,Fall 2020
College of Education,EDUC,,,College of Applied Sci & Tech,,Elementary Education,ELEM,Elementary Education - BA in Education: Bilingual Emphasis,BIL,13.1202,Spring 2021
College of Education,EDUC,,,College of Applied Sci & Tech,,Elementary Education,ELEM,Elementary Education - BA in Education: English as a Second Language Emphasis,ESLE,13.1202,Fall 2020
College of Education,EDUC,,,College of Applied Sci & Tech,,Elementary Education,ELEM,Elementary Education - BA in Education: English as a Second Language Emphasis,ESLE,13.1202,Spring 2021
College of Education,EDUC,,,Teachg Learning Sociocult Stds,,"Literacy, Learning and Leadership",LLL,"Literacy, Learning and Leadership - Bachelor of Science: Community Education Emphasis",COMMEDUC,13.0607,Fall 2020
College of Education,EDUC,,,Teachg Learning Sociocult Stds,,"Literacy, Learning and Leadership",LLL,"Literacy, Learning and Leadership - Bachelor of Science: Community Education Emphasis",COMMEDUC,13.0607,Spring 2021
College of Education,EDUC,,,Teachg Learning Sociocult Stds,,"Literacy, Learning and Leadership",LLL,"Literacy, Learning and Leadership - Bachelor of Science: Leadership for Equity, Access and Success in Education",LEAS,13.0607,Fall 2020
College of Education,EDUC,,,Teachg Learning Sociocult Stds,,"Literacy, Learning and Leadership",LLL,"Literacy, Learning and Leadership - Bachelor of Science: Leadership for Equity, Access and Success in Education",LEAS,13.0607,Spring 2021
College of Education,EDUC,,,Disability Psychoeduc Studies,,Mild Moderate Disabilities,MMDI,Mild Moderate Disabilities - BS in Education,MMDI,13.1001,Fall 2020
College of Education,EDUC,,,Disability Psychoeduc Studies,,Mild Moderate Disabilities,MMDI,Mild Moderate Disabilities - BS in Education,MMDI,13.1001,Spring 2021
College of Education,EDUC,,,Disability Psychoeduc Studies,,Rehabilitation Studies Services,RHSS,Rehabilitation Studies Services - BS in Education,RHSS,51.1599,Fall 2020
College of Education,EDUC,,,Disability Psychoeduc Studies,,Rehabilitation Studies Services,RHSS,Rehabilitation Studies Services - BS in Education,RHSS,51.1599,Spring 2021
College of Engineering,ENGR,,,Aerospace & Mechanical Engr,,Aerospace Engineering,AEE,Aerospace Engineering - BS in Aerospace Engineering,AEE,14.0201,Fall 2020
College of Engineering,ENGR,,,Aerospace & Mechanical Engr,,Aerospace Engineering,AEE,Aerospace Engineering - BS in Aerospace Engineering,AEE,14.0201,Spring 2021
