College Name,College Code,Department Name
College of Social & Behav Science,SBSC,School of Govt & Public Policy
College of Social & Behav Science,SBSC,School of Information
College of Social & Behav Science,SBSC,Social & Behavioral Sci Admin
College of Social & Behav Science,SBSC,Sociology
Colleges of Letters Arts & Science,SBSC,Colleges of Letters Arts & Sci
Eller College of Management,BUSN,Economics
Eller College of Management,BUSN,Eller Administration
Eller College of Management,BUSN,Eller College of Management
Eller College of Management,BUSN,Finance
Eller College of Management,BUSN,Karl Eller Grad School of Mgmt
Eller College of Management,BUSN,Management Information Systems
Eller College of Management,BUSN,Management and Organizations
Eller College of Management,BUSN,Marketing
Eller College of Management,BUSN,School of Accountancy
James C Wyant Coll Optical Science,,James C Wyant Coll Optical Sci
James E Rogers College of Law,,James E Rogers College of Law
James E Rogers College of Law,,Law Instruction
Letters Arts & Science Division,,The University of Arizona
