CIP_Code,Program,Minimum_Wage,Employment,Projected_Growth,Projected_Demand
11-3131.00,"Training and Development Managers 
",111340,38000,8.5,45.905482
13-1151.00,"Training and Development Specialists 

",60870,306000,8.5,202.094487
17-3025.00,"Environmental Engineering Technicians 

",50560,18000,8.5,9.874368
15-1133.00,"Software Developers, Systems Software 

",110000,421000,8.5,502.4635
17-3023.03,"Electrical Engineering Technicians 
",64330,131000,0,84.2723
19-2042.00,"Geoscientists, Except Hydrologists and Geographers 
",91130,31000,5,29.662815
13-2099.01,"Financial Quantitative Analysts 
",70280,144000,5,106.26336
19-1012.00,Food Scientists and Technologists ,65300,15000,5,10.28475
15-1132.00,"Software Developers, Applications 
",103620,944000,11,1085.771808
17-2072.00,"Electronics Engineers, Except Computer 
",102700,139000,0,142.753
19-3032.00,"Industrial-Organizational Psychologists 
",97260,1000,11,1.079586
19-4099.03,"Remote Sensing Technicians 

",49670,72000,8.5,38.802204
15-1141.00,"Database Administrators 
",90070,117000,8.5,114.3393615
17-2141.00,"Mechanical Engineers 
",87370,313000,5,287.141505
17-2071.00,"Electrical Engineers 
",96640,192000,5,194.82624
19-2099.01,"Remote Sensing Scientists and Technologists 
",107230,21000,2.5,23.0812575
15-1199.02,"Computer Systems Engineers/Architects 
",90270,413000,8.5,404.5043835
17-2131.00,Materials Engineers ,92390,28000,0,25.8692
25-2011.00,"Preschool Teachers, Except Special Education 
",29780,524000,8.5,169.311212
11-9199.04,"Supply Chain Managers 
",107480,1080000,5,1218.8232
17-2011.00,"Aerospace Engineers 
",115220,67000,2.5,79.127335
17-3029.02,"Electrical Engineering Technologists 
",63200,87000,2.5,56.3586
17-3027.00,Mechanical Engineering Technicians ,56250,43000,2.5,24.7921875
13-1111.00,"Management Analysts 
",83610,876000,11,812.990196
19-2031.00,"Chemists 
",76890,88000,5,71.04636
11-9121.00,"Natural Sciences Managers 
",123860,64000,5,83.23392
15-1134.00,"Web Developers 
",69430,161000,11,124.078353
19-2041.03,"Industrial Ecologists 

",71130,85000,8.5,65.5996425
19-4011.02,Food Science Technicians ,40860,29000,5,12.44187
15-1111.00,"Computer and Information Research Scientists 
",118370,32000,11,42.045024
11-9041.00,"Architectural and Engineering Managers 
",140760,193000,2.5,278.45847
17-2199.01,"Biochemical Engineers 
",96980,158000,5,160.88982
19-3099.01,"Transportation Planners 
",81340,39000,5,33.30873
19-3011.00,"Economists 
",104340,21000,8.5,23.773869
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents ",54440,58000,-2,30.943696
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists ",63000,89000,5,58.8735
17-2031.00,Biomedical Engineers ,88550,20000,5,18.5955
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,53630,67000,-2,35.213458
15-1121.01,"Informatics Nurse Specialists 
",88740,634000,8.5,610.433586
13-2011.01,"Accountants 
",70500,1424000,5,1054.116
15-2021.00,"Mathematicians 
",101900,3000,11,3.39327
25-2053.00,"Special Education Teachers, Middle School ",60250,87000,2.5,53.7279375
19-3091.01,"Anthropologists 
",62410,7000,8.5,4.7400395
13-2099.00,"Financial Specialists, All Other ",70280,144000,5,106.26336
51-1011.00,"First-Line Supervisors of Production and Operating Workers 
",60420,640000,0,386.688
11-3021.00,"Computer and Information Systems Managers 
",142530,414000,11,654.982362
29-1141.04,"Clinical Nurse Specialists 
",71730,3060000,11,2436.38118
15-1131.00,Computer Programmers ,84280,250000,-2,206.486
19-4041.02,"Geological Sample Test Technicians 

",53300,16000,8.5,9.25288
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers ",92250,6000,2.5,5.673375
39-9041.00,"Residential Advisors 
",27860,116000,11,35.872536
15-2041.00,"Statisticians 
",87780,44000,11,42.871752
17-2199.11,"Solar Energy Systems Engineers 
",96980,158000,5,160.88982
19-3022.00,Survey Researchers ,57700,13000,0,7.501
13-1081.02,"Logistics Analysts 
",74600,175000,5,137.0775
19-1021.00,Biochemists and Biophysicists ,93280,30000,5,29.3832
17-2199.06,"Microsystems Engineers 
",96980,158000,5,160.88982
19-1029.01,Bioinformatics Scientists ,79590,47000,5,39.277665
19-1042.00,"Medical Scientists, Except Epidemiologists 
",84810,131000,8.5,120.5446935
11-9199.00,"Managers, All Other ",107480,1080000,5,1218.8232
25-9031.01,Instructional Designers and Technologists ,64450,182000,5,123.16395
11-2011.00,Advertising and Promotions Managers ,117130,28000,2.5,33.61631
19-2041.01,"Climate Change Analysts 

",71130,85000,8.5,65.5996425
21-1012.00,"Educational, Guidance, School, and Vocational Counselors 
",56310,325000,8.5,198.5631375
17-2141.02,"Automotive Engineers 
",87370,313000,5,287.141505
15-1199.03,"Web Administrators 
",90270,413000,8.5,404.5043835
15-1199.01,"Software Quality Assurance Engineers and Testers 
",90270,413000,8.5,404.5043835
19-3051.00,"Urban and Regional Planners 

",73050,39000,11,31.623345
11-2031.00,"Public Relations and Fundraising Managers 
",114800,81000,8.5,100.89198
13-2031.00,Budget Analysts ,76220,57000,5,45.61767
17-2199.05,"Mechatronics Engineers 
",96980,158000,5,160.88982
11-9199.10,"Wind Energy Project Managers 
",107480,1080000,5,1218.8232
23-2091.00,"Court Reporters 
",57150,16000,8.5,9.92124
11-3121.00,"Human Resources Managers 
",113300,152000,8.5,186.85436
25-2032.00,"Career/Technical Education Teachers, Secondary School ",60250,77000,2.5,47.5523125
25-4021.00,Librarians ,59050,135000,5,83.703375
29-9011.00,"Occupational Health and Safety Specialists 
",73020,98000,5,75.13758
15-1199.04,"Geospatial Information Scientists and Technologists 

",90270,413000,8.5,404.5043835
19-2021.00,"Atmospheric and Space Scientists 

",94110,10000,8.5,10.210935
25-2023.00,"Career/Technical Education Teachers, Middle School ",59230,12000,2.5,7.28529
19-1013.00,"Soil and Plant Scientists 

",63950,18000,8.5,12.489435
11-9199.03,Investment Fund Managers ,107480,1080000,5,1218.8232
15-1199.12,"Document Management Specialists 
",90270,413000,8.5,404.5043835
25-2051.00,"Special Education Teachers, Preschool 
",55840,24000,8.5,14.540736
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School ",59390,184000,2.5,112.00954
17-3029.03,"Electromechanical Engineering Technologists 
",63200,87000,2.5,56.3586
21-1091.00,"Health Educators 
",54220,62000,8.5,36.473794
15-1199.09,"Information Technology Project Managers 
",90270,413000,8.5,404.5043835
17-2112.01,"Human Factors Engineers and Ergonomists 
",87040,285000,8.5,269.14944
39-7011.00,"Tour Guides and Escorts 
",26570,62000,8.5,17.873639
17-2199.07,"Photonics Engineers 
",96980,158000,5,160.88982
19-1011.00,"Animal Scientists 
",58380,3000,8.5,1.900269
25-9021.00,"Farm and Home Management Advisors 
",49840,10000,5,5.2332
33-3021.06,Intelligence Analysts ,81920,111000,2.5,93.20448
41-9031.00,Sales Engineers ,101420,67000,5,71.34897
15-1199.08,"Business Intelligence Analysts 
",90270,413000,8.5,404.5043835
17-3026.00,"Industrial Engineering Technicians 
",55460,68000,0,37.7128
25-9031.00,Instructional Coordinators ,64450,182000,5,123.16395
11-9033.00,"Education Administrators, Postsecondary 
",94340,193000,8.5,197.552677
25-1066.00,"Psychology Teachers, Postsecondary 
",76710,48000,11,40.871088
11-9199.02,"Compliance Managers 
",107480,1080000,5,1218.8232
15-2011.00,"Actuaries 
",102880,25000,11,28.5492
17-2199.03,"Energy Engineers 
",96980,158000,5,160.88982
17-2199.10,"Wind Energy Engineers 
",96980,158000,5,160.88982
11-3111.00,Compensation and Benefits Managers ,121010,16000,2.5,19.84564
11-9121.01,Clinical Research Coordinators ,123860,64000,5,83.23392
25-2012.00,"Kindergarten Teachers, Except Special Education ",55470,135000,5,78.628725
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products 
",62750,432000,-2,265.6584
19-3041.00,"Sociologists 
",82050,3000,8.5,2.6707275
27-1021.00,"Commercial and Industrial Designers 
",66590,44000,2.5,30.03209
19-2032.00,"Materials Scientists 
",99800,8000,2.5,8.1836
11-9151.00,"Social and Community Service Managers 
",65320,169000,11,122.533788
13-1051.00,"Cost Estimators 
",64040,217000,8.5,150.778978
17-3024.00,"Electro-Mechanical Technicians 
",57790,14000,0,8.0906
41-3031.01,"Sales Agents, Securities and Commodities ",64120,442000,5,297.58092
43-9111.00,"Statistical Assistants 
",48330,13000,8.5,6.8169465
13-1131.00,"Fundraisers 
",56950,95000,8.5,58.7012125
19-4092.00,"Forensic Science Technicians 
",58230,17000,11,10.988001
15-2031.00,"Operations Research Analysts 
",83390,110000,11,101.81919
17-2171.00,Petroleum Engineers ,137170,34000,2.5,47.803745
11-3061.00,Purchasing Managers ,118940,72000,5,89.91864
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program 
",47940,67000,8.5,34.849983
17-3022.00,Civil Engineering Technicians ,52580,74000,5,40.85466
39-9011.00,"Childcare Workers 
",23240,1160000,2.5,276.3236
13-1081.00,Logisticians ,74600,175000,5,137.0775
17-2112.00,"Industrial Engineers 

",87040,285000,8.5,269.14944
19-4091.00,"Environmental Science and Protection Technicians, Including Health 

",46170,35000,8.5,17.5330575
25-3099.02,"Tutors 
",30850,1012000,5,327.8121
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products 
",79680,326000,5,272.74464
11-3071.01,"Transportation Managers 
",94730,131000,5,130.301115
13-1161.00,"Market Research Analysts and Marketing Specialists 
",63120,682000,11,477.831024
15-1143.00,Computer Network Architects ,109020,159000,5,182.00889
15-1199.05,"Geographic Information Systems Technicians 

",90270,413000,8.5,404.5043835
19-3031.02,"Clinical Psychologists 
",76990,162000,11,138.443418
11-3051.00,"Industrial Production Managers 
",103380,187000,0,193.3206
11-9039.01,"Distance Learning Coordinators 
",82850,47000,8.5,42.2493575
25-1081.00,"Education Teachers, Postsecondary 
",64780,79000,8.5,55.526177
19-3031.03,"Counseling Psychologists 
",76990,162000,11,138.443418
19-4011.01,"Agricultural Technicians 
",40860,29000,5,12.44187
21-1093.00,"Social and Human Service Assistants 
",33750,414000,11,155.09475
25-1052.00,"Chemistry Teachers, Postsecondary ",79550,27000,5,22.552425
11-1021.00,"General and Operations Managers 

",100930,2376000,8.5,2601.935028
13-1071.00,Human Resources Specialists ,60880,626000,5,400.16424
17-2199.02,"Validation Engineers 
",96980,158000,5,160.88982
19-4061.01,"City and Regional Planning Aides 
",46640,40000,8.5,20.24176
21-1092.00,Probation Officers and Correctional Treatment Specialists ,53020,92000,2.5,49.99786
25-2059.01,"Adapted Physical Education Specialists 
",56680,38000,8.5,23.369164
27-2012.03,Program Directors ,71680,152000,5,114.40128
19-4099.02,"Precision Agriculture Technicians 

",49670,72000,8.5,38.802204
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers ,38160,31000,-2,11.593008
11-9021.00,"Construction Managers 

",93370,472000,8.5,478.166444
13-1081.01,"Logistics Engineers 
",74600,175000,5,137.0775
13-2071.01,"Loan Counselors 
",45180,40000,8.5,19.60812
21-1021.00,"Child, Family, and School Social Workers 
",46270,340000,8.5,170.69003
25-1022.00,"Mathematical Science Teachers, Postsecondary ",73230,61000,2.5,45.7870575
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary 
",67640,32000,8.5,23.484608
43-9111.01,"Bioinformatics Technicians 
",48330,13000,8.5,6.8169465
13-1121.00,"Meeting, Convention, and Event Planners 
",49370,134000,8.5,71.779043
15-1199.07,"Data Warehousing Specialists 
",90270,413000,8.5,404.5043835
17-2041.00,"Chemical Engineers 
",104910,34000,5,37.45287
25-4012.00,"Curators 
",53780,14000,8.5,8.169182
49-9071.00,"Maintenance and Repair Workers, General 

",38300,1488000,5,598.3992
51-4041.00,"Machinists 
",43630,395000,2.5,176.6469625
15-2041.01,"Biostatisticians 
",87780,44000,11,42.871752
17-2081.01,"Water/Wastewater Engineers 
",87620,55000,5,50.60055
17-2061.00,Computer Hardware Engineers ,114600,64000,5,77.0112
21-1011.00,"Substance Abuse and Behavioral Disorder Counselors 
",47790,834000,11,442.411146
29-1023.00,"Orthodontists 
",208000,7000,8.5,15.7976
45-4011.00,"Forest and Conservation Workers 
",27460,14000,-2,3.767512
25-1054.00,"Physics Teachers, Postsecondary 
",90800,17000,8.5,16.74806
25-1192.00,"Home Economics Teachers, Postsecondary ",71380,3000,5,2.24847
11-9199.11,"Brownfield Redevelopment Specialists and Site Managers 
",107480,1080000,5,1218.8232
13-2011.02,"Auditors 
",70500,1424000,5,1054.116
17-2051.01,"Transportation Engineers 
",86640,327000,5,297.47844
21-1015.00,"Rehabilitation Counselors 
",35630,120000,8.5,46.39026
41-4011.07,"Solar Sales Representatives and Assessors 
",79680,326000,5,272.74464
19-1020.01,Biologists ,77550,118000,5,96.08445
11-9051.00,"Food Service Managers 
",54240,356000,11,214.334784
17-3027.01,"Automotive Engineering Technicians 
",56250,43000,2.5,24.7921875
27-2021.00,Athletes and Sports Competitors ,50650,14000,5,7.44555
29-1122.00,"Occupational Therapists 
",84270,133000,11,124.407801
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers 
",53340,45000,-2,23.52294
17-2021.00,Agricultural Engineers ,77110,3000,5,2.428965
19-4051.02,Nuclear Monitoring Technicians ,79140,8000,-2,6.204576
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping ",32310,66000,5,22.39083
19-3011.01,"Environmental Economists 

",104340,21000,8.5,23.773869
11-3011.00,"Administrative Services Managers 
",96180,300000,8.5,313.0659
13-1041.04,Government Property Inspectors and Investigators ,68860,320000,5,231.3696
17-3029.09,"Manufacturing Production Technicians 
",63200,87000,2.5,56.3586
29-2092.00,"Hearing Aid Specialists 
",52770,8000,11,4.685976
43-6011.00,Executive Secretaries and Executive Administrative Assistants ,59340,623000,-2,362.294436
13-1199.04,"Business Continuity Planners 
",70530,1136000,5,841.28184
29-2035.00,"Magnetic Resonance Imaging Technologists 
",71670,39000,11,31.025943
51-3011.00,Bakers ,26520,192000,5,53.46432
51-4192.00,"Layout Workers, Metal and Plastic ",47900,8000,-2,3.75536
53-2021.00,Air Traffic Controllers ,124540,24000,0,29.8896
19-4099.01,"Quality Control Analysts 
",49670,72000,8.5,38.802204
25-2054.00,"Special Education Teachers, Secondary School ",60600,142000,2.5,88.2033
11-3051.03,"Biofuels Production Managers 
",103380,187000,0,193.3206
11-3051.04,"Biomass Power Plant Managers 
",103380,187000,0,193.3206
19-1022.00,Microbiologists ,71650,22000,5,16.55115
41-9041.00,Telemarketers ,25250,168000,-2,41.5716
51-8091.00,"Chemical Plant and System Operators 
",62060,29000,-2,17.637452
19-2012.00,"Physicists 
",120950,19000,8.5,24.9338425
11-9039.00,"Education Administrators, All Other 
",82850,47000,8.5,42.2493575
13-1199.00,"Business Operations Specialists, All Other 
",70530,1136000,5,841.28184
17-3023.00,Electrical and Electronic Engineering Technicians ,64330,131000,0,84.2723
17-3029.12,"Nanotechnology Engineering Technicians 
",63200,87000,2.5,56.3586
19-3094.00,Political Scientists ,117570,6000,5,7.40691
21-1019.00,"Counselors, All Other 
",42130,30000,11,14.02929
25-9099.00,"Education, Training, and Library Workers, All Other ",42080,119000,5,52.57896
33-3051.03,Sheriffs and Deputy Sheriffs ,61380,687000,5,442.76463
41-3099.00,"Sales Representatives, Services, All Other 
",54550,1061000,8.5,627.9714175
43-4061.00,"Eligibility Interviewers, Government Programs ",46020,145000,5,70.06545
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping ",40390,129000,-2,51.061038
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders ",28220,14000,-2,3.871784
51-6092.00,Fabric and Apparel Patternmakers ,40560,5000,-2,1.98744
51-7031.00,"Model Makers, Wood ",53100,2000,2.5,1.08855
55-1015.00,Command and Control Center Officers ,53100,2000,2.5,1.08855
11-9199.01,"Regulatory Affairs Managers 
",107480,1080000,5,1218.8232
25-9041.00,"Teacher Assistants 
",26970,1380000,5,390.7953
27-3042.00,"Technical Writers 
",71850,56000,8.5,43.65606
29-1069.07,"Pathologists 
",200890,434000,8.5,945.970921
33-9021.00,"Private Detectives and Investigators 
",50090,33000,8.5,17.9347245
51-9151.00,Photographic Process Workers and Processing Machine Operators ,29180,17000,-2,4.861388
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers ",56100,233000,-2,128.09874
13-2099.02,"Risk Management Specialists 
",70280,144000,5,106.26336
29-2011.01,"Cytogenetic Technologists 
",52330,332000,11,192.846516
13-1199.01,"Energy Auditors 

",70530,1136000,5,841.28184
19-3093.00,Historians ,61140,3000,5,1.92591
31-2021.00,"Physical Therapist Assistants 
",58040,98000,11,63.135912
41-2021.00,Counter and Rental Clerks ,27290,436000,5,124.93362
11-3071.03,"Logistics Managers 
",94730,131000,5,130.301115
11-9032.00,"Education Administrators, Elementary and Secondary School ",95310,275000,5,275.207625
19-1029.03,Geneticists ,79590,47000,5,39.277665
29-2011.00,"Medical and Clinical Laboratory Technologists 
",52330,332000,11,192.846516
13-1199.06,"Online Merchants 
",70530,1136000,5,841.28184
29-1131.00,"Veterinarians 
",93830,85000,11,88.528605
41-1011.00,"First-Line Supervisors of Retail Sales Workers 
",39630,1548000,-2,601.202952
15-1199.11,"Video Game Designers 
",90270,413000,8.5,404.5043835
19-2041.00,"Environmental Scientists and Specialists, Including Health 

",71130,85000,8.5,65.5996425
19-1041.00,Epidemiologists ,69660,8000,5,5.85144
19-4061.00,"Social Science Research Assistants 
",46640,40000,8.5,20.24176
29-9012.00,"Occupational Health and Safety Technicians 

",50780,20000,8.5,11.01926
45-2041.00,"Graders and Sorters, Agricultural Products ",24430,40000,-2,9.57656
11-9199.07,Security Managers ,107480,1080000,5,1218.8232
25-1123.00,"English Language and Literature Teachers, Postsecondary ",66590,83000,5,58.033185
25-2021.00,"Elementary School Teachers, Except Special Education 
",58230,1434000,2.5,855.893655
11-1031.00,Legislators ,24670,52000,5,13.46982
15-1152.00,Computer Network Support Specialists ,62770,191000,5,125.885235
19-2011.00,Astronomers ,105680,2000,5,2.21928
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education ",58600,616000,5,379.0248
11-9199.08,Loss Prevention Managers ,107480,1080000,5,1218.8232
25-1021.00,"Computer Science Teachers, Postsecondary ",82220,40000,5,34.5324
27-3022.00,"Reporters and Correspondents 
",41260,43000,-2,17.386964
41-3031.03,"Securities and Commodities Traders 
",64120,442000,5,297.58092
11-3051.01,Quality Control Systems Managers ,103380,187000,0,193.3206
11-9111.00,"Medical and Health Services Managers 
",99730,406000,11,449.443218
15-2041.02,"Clinical Data Managers 
",87780,44000,11,42.871752
39-9011.01,"Nannies 
",23240,1160000,2.5,276.3236
25-3021.00,"Self-Enrichment Education Teachers 
",38720,370000,11,159.02304
19-1031.01,"Soil and Water Conservationists 
",61310,24000,5,15.45012
25-1032.00,"Engineering Teachers, Postsecondary 
",101720,48000,11,54.196416
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary 
",74440,13000,8.5,10.499762
11-9013.02,"Farm and Ranch Managers 
",67950,975000,0,662.5125
43-4171.00,"Receptionists and Information Clerks 
",29140,1102000,5,337.17894
17-3029.06,"Manufacturing Engineering Technologists 
",63200,87000,2.5,56.3586
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education ",60320,1073000,5,679.59528
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products ",62750,432000,-2,265.6584
17-3029.08,"Photonics Technicians 
",63200,87000,2.5,56.3586
19-1023.00,"Zoologists and Wildlife Biologists 
",63420,19000,5,12.65229
37-1011.00,"First-Line Supervisors of Housekeeping and Janitorial Workers 
",39940,245000,8.5,106.170505
19-2041.02,"Environmental Restoration Planners 

",71130,85000,8.5,65.5996425
15-1142.00,Network and Computer Systems Administrators ,82050,384000,5,330.8256
17-2141.01,"Fuel Cell Engineers 
",87370,313000,5,287.141505
17-3024.01,"Robotics Technicians 
",57790,14000,0,8.0906
17-3031.02,Mapping Technicians ,44380,57000,5,26.56143
29-2051.00,Dietetic Technicians ,27140,35000,5,9.97395
39-9021.00,"Personal Care Aides 
",24020,2421000,11,645.491862
19-1029.02,Molecular and Cellular Biologists ,79590,47000,5,39.277665
19-3039.00,"Psychologists, All Other 
",100770,18000,11,20.133846
19-3099.00,"Social Scientists and Related Workers, All Other ",81340,39000,5,33.30873
19-4093.00,"Forest and Conservation Technicians 
",37180,33000,2.5,12.576135
31-1011.00,"Home Health Aides 
",24200,832000,11,223.49184
31-1013.00,"Psychiatric Aides 
",29180,62000,11,20.081676
31-2011.00,"Occupational Therapy Assistants 
",60220,44000,11,29.411448
41-2011.00,"Cashiers 
",22430,3649000,-2,802.101286
43-5061.00,"Production, Planning, and Expediting Clerks 
",47580,359000,5,179.35281
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic ",35390,136000,2.5,49.33366
11-3031.01,"Treasurers and Controllers 
",127990,654000,11,929.130606
11-9161.00,Emergency Management Directors ,74420,10000,5,7.8141
11-1011.03,"Chief Sustainability Officers 
",189600,263000,-2,488.67504
15-1122.00,"Information Security Analysts 
",98350,112000,11,122.26872
17-2199.09,"Nanosystems Engineers 
",96980,158000,5,160.88982
17-3029.07,"Mechanical Engineering Technologists 
",63200,87000,2.5,56.3586
19-3031.01,"School Psychologists 
",76990,162000,11,138.443418
29-1031.00,"Dietitians and Nutritionists 
",60370,71000,11,47.577597
51-5111.00,Prepress Technicians and Workers ,40410,30000,-2,11.88054
27-1022.00,Fashion Designers ,72720,26000,0,18.9072
29-1141.01,"Acute Care Nurses 
",71730,3060000,11,2436.38118
29-2071.00,"Medical Records and Health Information Technicians 
",40350,216000,11,96.74316
33-3012.00,Correctional Officers and Jailers ,44330,434000,-2,188.544356
17-2081.00,"Environmental Engineers 
",87620,55000,5,50.60055
29-2011.02,"Cytotechnologists 
",52330,332000,11,192.846516
29-1124.00,"Radiation Therapists 
",82330,19000,8.5,16.9723295
43-5021.00,Couriers and Messengers ,28720,102000,2.5,30.02676
17-3029.04,"Electronics Engineering Technologists 
",63200,87000,2.5,56.3586
19-4021.00,"Biological Technicians 
",44500,85000,8.5,41.040125
49-3011.00,Aircraft Mechanics and Service Technicians ,62920,137000,2.5,88.35541
49-9021.01,"Heating and Air Conditioning Mechanics and Installers 

",47610,368000,11,194.477328
13-1041.00,Compliance Officers ,68860,320000,5,231.3696
13-1041.01,Environmental Compliance Inspectors ,68860,320000,5,231.3696
13-1199.02,"Security Management Specialists 
",70530,1136000,5,841.28184
13-2041.00,Credit Analysts ,71520,76000,5,57.07296
17-2199.04,"Manufacturing Engineers 
",96980,158000,5,160.88982
17-2199.08,"Robotics Engineers 
",96980,158000,5,160.88982
19-3091.00,"Anthropologists and Archeologists 
",62410,7000,8.5,4.7400395
19-4011.00,Agricultural and Food Science Technicians ,40860,29000,5,12.44187
21-1014.00,"Mental Health Counselors 
",47790,834000,11,442.411146
39-6011.00,Baggage Porters and Bellhops ,24210,43000,5,10.930815
41-9012.00,Models ,23770,4000,-2,0.931784
43-3041.00,Gaming Cage Workers ,27490,16000,2.5,4.50836
43-4131.00,"Loan Interviewers and Clerks 
",39890,226000,8.5,97.814269
43-5052.00,Postal Service Mail Carriers ,55210,329000,-2,178.008082
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders ,28780,10000,-2,2.82044
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders 
",37210,131000,-2,47.770198
53-6041.00,Traffic Technicians ,46570,8000,5,3.91188
55-1012.00,Aircraft Launch and Recovery Officers ,46570,8000,5,3.91188
55-1016.00,Infantry Officers ,46570,8000,5,3.91188
11-2011.01,"Green Marketers 
",117130,28000,2.5,33.61631
11-3071.02,"Storage and Distribution Managers 
",94730,131000,5,130.301115
11-9061.00,Funeral Service Managers ,79180,24000,5,19.95336
17-1012.00,"Landscape Architects 
",68230,24000,5,17.19396
17-1022.00,Surveyors ,62580,49000,5,32.19741
27-1024.00,Graphic Designers ,50370,290000,2.5,149.724825
27-3043.04,Copy Writers ,62170,123000,0,76.4691
43-4041.02,Credit Checkers ,38750,30000,-2,11.3925
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers 
",38250,574000,-2,215.1639
17-2161.00,"Nuclear Engineers 
",107600,18000,0,19.368
29-1141.02,"Advanced Practice Psychiatric Nurses 
",71730,3060000,11,2436.38118
29-1161.00,"Nurse Midwives 
",103770,7000,11,8.062929
47-1011.00,"First-Line Supervisors of Construction Trades and Extraction Workers 
",65230,663000,8.5,469.2352665
29-2012.00,"Medical and Clinical Laboratory Technicians 
",52330,332000,11,192.846516
11-9121.02,"Water Resource Specialists 
",123860,64000,5,83.23392
